timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,91.98,93.06,90.43,92.23,7238794,ABT,Health Care
2020-06-30,92.95,93.96,86.16,91.43,141828209,ABT,Health Care
2020-05-29,91.0,96.68,88.031,94.92,143592247,ABT,Health Care
2020-04-30,77.0,100.0,75.35,92.09,234832734,ABT,Health Care
2020-03-31,77.88,84.4,61.61,78.91,310473391,ABT,Health Care
2020-02-28,87.78,90.08,74.02,77.03,101990435,ABT,Health Care
2020-01-31,86.06,92.45,84.01,87.14,119649301,ABT,Health Care
2019-12-31,85.57,89.24,83.27,86.86,84382714,ABT,Health Care
2019-11-29,84.09,85.97,80.9,85.45,97934841,ABT,Health Care
2019-10-31,84.03,84.77,78.51,83.61,112980833,ABT,Health Care
2019-09-30,84.43,86.43,81.02,83.67,79566642,ABT,Health Care
2019-08-30,87.18,88.06,81.36,85.32,103603172,ABT,Health Care
2019-07-31,84.74,88.76,82.9,87.1,103743895,ABT,Health Care
2019-06-28,76.25,85.45,75.44,84.1,115150030,ABT,Health Care
2019-05-31,79.35,79.47,74.535,76.13,106180688,ABT,Health Care
2019-04-30,80.67,80.74,72.36,79.56,118461436,ABT,Health Care
2019-03-29,77.99,80.49,75.86,79.94,119620945,ABT,Health Care
2019-02-28,73.02,78.06,71.5,77.62,108041370,ABT,Health Care
2019-01-31,70.39,73.07,65.5,72.98,157854430,ABT,Health Care
2018-12-31,74.29,74.92,65.44,72.33,144017836,ABT,Health Care
2018-11-30,69.09,74.23,67.83,74.05,133863387,ABT,Health Care
2018-10-31,73.81,74.15,65.78,68.94,182684799,ABT,Health Care
2018-09-28,66.74,73.58,65.22,73.36,109301712,ABT,Health Care
2018-08-31,65.35,67.355,63.07,66.84,94871702,ABT,Health Care
2018-07-31,60.63,65.9,60.32,65.54,109258743,ABT,Health Care
2018-06-29,61.96,63.85,60.3152,60.99,107128990,ABT,Health Care
2018-05-31,57.7,62.72,56.81,61.53,119237941,ABT,Health Care
2018-04-30,59.82,60.145,56.99,58.13,136068450,ABT,Health Care
2018-03-29,60.16,63.95,58.43,59.92,136396558,ABT,Health Care
2018-02-28,61.75,62.54,55.58,60.33,139401409,ABT,Health Care
2018-01-31,58.2,64.6,57.817,62.16,152754306,ABT,Health Care
2017-12-29,56.3,57.765,54.32,57.07,126255817,ABT,Health Care
2017-11-30,53.89,56.52,53.6101,56.37,108514081,ABT,Health Care
2017-10-31,53.64,56.685,53.195,54.23,120874590,ABT,Health Care
2017-09-29,51.03,54.8,50.64,53.36,123432935,ABT,Health Care
2017-08-31,49.24,51.05,48.05,50.94,100665991,ABT,Health Care
2017-07-31,48.73,51.13,47.83,49.18,113640092,ABT,Health Care
2017-06-30,45.52,49.59,45.47,48.61,159481377,ABT,Health Care
2017-05-31,43.57,45.75,42.88,45.66,132368661,ABT,Health Care
2017-04-28,44.42,44.61,42.31,43.64,134800596,ABT,Health Care
2017-03-31,45.37,45.84,44.26,44.41,148917183,ABT,Health Care
2017-02-28,41.51,45.68,41.44,45.08,165451856,ABT,Health Care
2017-01-31,38.6334,41.79,38.34,41.77,211271563,ABT,Health Care
2016-12-30,38.12,39.79,37.38,38.41,178428497,ABT,Health Care
2016-11-30,39.24,41.53,37.81,38.07,180431584,ABT,Health Care
2016-10-31,42.06,43.78,39.22,39.24,187708938,ABT,Health Care
2016-09-30,41.92,42.53,40.48,42.29,161479608,ABT,Health Care
2016-08-31,44.75,45.79,41.93,42.02,227351763,ABT,Health Care
2016-07-29,39.31,45.16,39.16,44.75,219196096,ABT,Health Care
2016-06-30,39.37,39.64,36.76,39.31,224953980,ABT,Health Care
2016-05-31,38.85,39.67,36.89,39.63,251973922,ABT,Health Care
2016-04-29,41.53,44.58,38.58,38.9,180296839,ABT,Health Care
2016-03-31,38.91,42.0,38.09,41.83,146217754,ABT,Health Care
2016-02-29,36.17,39.88,36.02,38.74,148834649,ABT,Health Care
2016-01-29,43.94,44.05,36.0,37.85,178808035,ABT,Health Care
2015-12-31,45.22,46.22,43.565,44.91,120153675,ABT,Health Care
2015-11-30,44.88,46.38,43.45,44.92,109826313,ABT,Health Care
2015-10-30,40.35,45.34,39.28,44.8,173992294,ABT,Health Care
2015-09-30,44.22,45.15,39.0,40.22,160171744,ABT,Health Care
2015-08-31,50.89,51.17,42.3032,45.29,148063772,ABT,Health Care
2015-07-31,49.4,51.74,48.92,50.69,118243377,ABT,Health Care
2015-06-30,48.77,50.47,47.72,49.08,108389006,ABT,Health Care
2015-05-29,46.71,49.43,46.23,48.6,89226567,ABT,Health Care
2015-04-30,46.33,48.62,45.545,46.42,98184168,ABT,Health Care
2015-03-31,47.34,47.85,46.1,46.33,113588142,ABT,Health Care
2015-02-27,44.93,47.88,44.28,47.37,112823072,ABT,Health Care
2015-01-30,45.25,45.87,43.355,44.76,116062210,ABT,Health Care
2014-12-31,44.27,46.5,43.1,45.02,110972439,ABT,Health Care
2014-11-28,43.56,44.77,43.02,44.51,79730049,ABT,Health Care
2014-10-31,42.05,44.06,39.28,43.59,129694245,ABT,Health Care
2014-09-30,42.17,44.2,41.59,41.59,96615257,ABT,Health Care
2014-08-29,42.0,42.88,41.151,42.24,69583046,ABT,Health Care
2014-07-31,41.18,43.27,40.92,42.12,110272996,ABT,Health Care
2014-06-30,40.02,41.3,39.59,40.9,111958000,ABT,Health Care
2014-05-30,38.65,40.13,38.25,40.01,112561900,ABT,Health Care
2014-04-30,38.49,39.5,36.65,38.74,158565600,ABT,Health Care
2014-03-31,39.5,40.49,38.08,38.51,178349600,ABT,Health Care
2014-02-28,36.58,39.98,35.8,39.78,166756200,ABT,Health Care
2014-01-31,38.09,39.86,35.65,36.66,168285600,ABT,Health Care
2013-12-31,38.24,38.57,36.27,38.33,119120400,ABT,Health Care
2013-11-29,36.69,38.81,36.61,38.19,123309800,ABT,Health Care
2013-10-31,33.17,37.62,32.75,36.55,190625300,ABT,Health Care
2013-09-30,33.68,35.72,32.7,33.19,176037800,ABT,Health Care
2013-08-30,36.89,37.07,33.23,33.33,132799800,ABT,Health Care
2013-07-31,34.97,37.16,33.72,36.63,156935000,ABT,Health Care
2013-06-28,36.63,37.64,34.69,34.88,146831300,ABT,Health Care
2013-05-31,36.77,38.77,35.58,36.67,158660700,ABT,Health Care
2013-04-30,35.18,37.55,34.95,36.92,154928900,ABT,Health Care
2013-03-28,33.69,35.34,33.27,35.32,147948200,ABT,Health Care
2013-02-28,33.92,35.29,33.37,33.79,198064800,ABT,Health Care
2013-01-31,32.3,33.94,31.64,33.88,327308700,ABT,Health Care
2012-12-31,65.09,66.85,64.01,65.5,297290900,ABT,Health Care
2012-11-30,65.76,66.28,62.62,65.0,286689900,ABT,Health Care
2012-10-31,68.49,72.47,64.52,65.5,421217200,ABT,Health Care
2012-09-28,65.26,70.41,64.57,68.56,238433900,ABT,Health Care
2012-08-31,66.43,67.45,65.06,65.54,177828100,ABT,Health Care
2012-07-31,64.22,66.88,63.51,66.31,370081600,ABT,Health Care
2012-06-29,61.15,64.47,59.46,64.47,265480900,ABT,Health Care
2012-05-31,62.02,63.2,61.04,61.79,310697900,ABT,Health Care
2012-04-30,61.14,62.57,59.04,62.06,313330600,ABT,Health Care
2012-03-30,56.6,61.49,55.91,61.29,348089800,ABT,Health Care
2012-02-29,54.26,57.1963,53.96,56.61,282077100,ABT,Health Care
2012-01-31,56.58,56.84,53.96,54.15,311848200,ABT,Health Care
2011-12-30,54.19,56.44,53.8,56.23,285213400,ABT,Health Care
2011-11-30,52.95,54.78,52.05,54.55,262138000,ABT,Health Care
2011-10-31,50.89,55.61,48.96,53.87,562774200,ABT,Health Care
2011-09-30,52.4,53.28,49.41,51.14,344087400,ABT,Health Care
2011-08-31,51.62,52.62,46.29,52.51,491257700,ABT,Health Care
2011-07-29,52.55,53.6,51.16,51.32,251935300,ABT,Health Care
2011-06-30,52.22,52.79,50.62,52.62,296154300,ABT,Health Care
2011-05-31,52.22,54.24,51.37,52.25,335373500,ABT,Health Care
2011-04-29,49.15,52.96,49.05,52.04,360534300,ABT,Health Care
2011-03-31,48.19,49.45,46.5,49.05,383277000,ABT,Health Care
2011-02-28,45.18,48.56,45.08,48.1,403285600,ABT,Health Care
2011-01-31,48.29,48.82,45.07,45.16,493167900,ABT,Health Care
2010-12-31,46.89,48.77,46.4,47.91,361505500,ABT,Health Care
2010-11-30,51.58,51.64,46.03,46.51,388459000,ABT,Health Care
2010-10-29,52.54,53.75,50.93,51.32,347207400,ABT,Health Care
2010-09-30,49.72,52.86,49.72,52.24,235460300,ABT,Health Care
2010-08-31,49.71,51.7,48.93,49.34,301114400,ABT,Health Care
2010-07-30,46.55,49.77,45.71,49.08,304448200,ABT,Health Care
2010-06-30,47.44,49.23,45.6723,46.78,383454200,ABT,Health Care
2010-05-28,51.45,51.59,45.26,47.56,436324800,ABT,Health Care
2010-04-30,52.8,53.25,49.41,51.16,361811800,ABT,Health Care
2010-03-31,54.37,55.55,52.21,52.68,402913200,ABT,Health Care
2010-02-26,53.11,55.0,52.67,54.28,303363900,ABT,Health Care
2010-01-29,54.19,56.79,52.89,52.94,259719100,ABT,Health Care
2009-12-31,54.85,54.97,52.94,53.99,237646100,ABT,Health Care
2009-11-30,50.83,54.59,50.07,54.49,242733800,ABT,Health Care
2009-10-30,49.46,52.36,48.41,50.57,368186700,ABT,Health Care
2009-09-30,45.08,49.69,44.72,49.47,398487000,ABT,Health Care
2009-08-31,45.08,46.66,43.49,45.23,361237200,ABT,Health Care
2009-07-31,47.0,47.09,43.45,44.99,445923400,ABT,Health Care
2009-06-30,45.3,48.37,43.9019,47.04,395172300,ABT,Health Care
2009-05-29,41.94,46.31,41.27,45.06,374995100,ABT,Health Care
2009-04-30,47.12,47.48,41.37,41.85,583130100,ABT,Health Care
2009-03-31,46.69,49.56,44.1,47.7,558887400,ABT,Health Care
2009-02-27,53.92,57.39,47.24,47.34,390221600,ABT,Health Care
2009-01-30,53.53,55.83,48.17,55.44,439478500,ABT,Health Care
2008-12-31,51.1,54.02,49.34,53.37,332862300,ABT,Health Care
2008-11-28,55.12,57.4,48.27,52.39,385748500,ABT,Health Care
2008-10-31,57.26,59.93,45.75,55.15,576749300,ABT,Health Care
2008-09-30,58.12,60.78,55.96,57.58,361549000,ABT,Health Care
2008-08-29,56.34,59.82,55.83,57.43,222668700,ABT,Health Care
2008-07-31,52.7,58.73,52.63,56.34,401424000,ABT,Health Care
2008-06-30,56.13,57.04,52.56,52.97,254318600,ABT,Health Care
2008-05-30,52.58,56.66,50.5,56.35,278341700,ABT,Health Care
2008-04-30,55.4,55.4,50.09,52.75,385736500,ABT,Health Care
2008-03-31,53.17,55.9,50.09,55.15,279159800,ABT,Health Care
2008-02-29,56.54,58.5,53.23,53.55,264381300,ABT,Health Care
2008-01-31,56.03,61.09,52.89,56.18,385158400,ABT,Health Care
2007-12-31,57.12,59.48,56.01,56.15,210779300,ABT,Health Care
2007-11-30,54.56,58.17,52.95,57.51,262197300,ABT,Health Care
2007-10-31,53.56,56.66,50.51,54.62,320486200,ABT,Health Care
2007-09-28,51.82,54.72,51.15,53.62,209493100,ABT,Health Care
2007-08-31,50.47,56.91,50.08,51.91,323273300,ABT,Health Care
2007-07-31,53.99,54.97,49.58,50.69,294496000,ABT,Health Care
2007-06-29,56.44,56.7,52.8,53.55,266689700,ABT,Health Care
2007-05-31,56.56,59.5,55.07,56.35,231273100,ABT,Health Care
2007-04-30,55.8,59.4,55.16,56.62,257211600,ABT,Health Care
2007-03-30,53.75,57.26,52.37,55.8,402734900,ABT,Health Care
2007-02-28,52.5,55.06,52.06,54.62,214537300,ABT,Health Care
2007-01-31,48.83,53.85,48.75,53.0,318678600,ABT,Health Care
2006-12-29,46.9,49.1,46.25,48.71,177573600,ABT,Health Care
2006-11-30,47.2,48.32,45.41,46.66,220206200,ABT,Health Care
2006-10-31,47.75,48.94,46.04,47.51,266143200,ABT,Health Care
2006-09-29,48.8,49.87,47.31,48.56,202493800,ABT,Health Care
2006-08-31,47.45,49.43,45.9,48.7,226509100,ABT,Health Care
2006-07-31,43.69,48.19,43.25,47.77,253182800,ABT,Health Care
2006-06-30,42.7,43.61,41.44,43.61,199463700,ABT,Health Care
2006-05-31,42.75,43.1,41.13,42.7,204541600,ABT,Health Care
2006-04-28,42.47,43.1,40.55,42.74,187625800,ABT,Health Care
2006-03-31,44.18,45.58,42.32,42.47,227972600,ABT,Health Care
2006-02-28,42.75,44.81,41.7,44.18,185612200,ABT,Health Care
2006-01-31,39.55,43.85,39.18,43.15,243452600,ABT,Health Care
2005-12-30,37.54,41.15,37.54,39.43,239063500,ABT,Health Care
2005-11-30,42.95,43.85,37.5,37.71,269812300,ABT,Health Care
2005-10-31,42.4,44.36,41.5775,43.05,219970200,ABT,Health Care
