timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,259.32,268.63,258.15,264.21,2405543,AMT,Real Estate
2020-06-30,258.03,269.25,244.02,258.54,50059492,AMT,Real Estate
2020-05-29,233.24,259.47,223.83,258.17,39515077,AMT,Real Estate
2020-04-30,205.81,260.43,202.03,238.0,52285842,AMT,Real Estate
2020-03-31,229.03,251.97,174.32,217.75,77304456,AMT,Real Estate
2020-02-28,232.98,258.62,218.03,226.8,39936163,AMT,Real Estate
2020-01-31,229.68,239.99,221.62,231.74,31296982,AMT,Real Estate
2019-12-31,214.15,229.98,208.25,229.82,32210580,AMT,Real Estate
2019-11-29,219.15,219.76,202.91,214.03,33181611,AMT,Real Estate
2019-10-31,220.7,231.21,210.027,218.08,35878296,AMT,Real Estate
2019-09-30,230.6,242.0,212.5,221.13,41811938,AMT,Real Estate
2019-08-30,210.11,231.7706,208.495,230.19,34063553,AMT,Real Estate
2019-07-31,205.0,213.68,199.48,211.62,37796892,AMT,Real Estate
2019-06-28,208.86,218.79,203.62,204.45,38676928,AMT,Real Estate
2019-05-31,194.95,210.2522,188.53,208.77,34180695,AMT,Real Estate
2019-04-30,197.54,198.19,189.42,195.3,35327328,AMT,Real Estate
2019-03-29,176.2,197.33,174.27,197.06,38621757,AMT,Real Estate
2019-02-28,173.15,178.69,168.88,176.15,34866037,AMT,Real Estate
2019-01-31,157.11,173.95,153.93,172.84,39712683,AMT,Real Estate
2018-12-31,165.02,168.58,150.665,158.19,45714637,AMT,Real Estate
2018-11-30,156.54,167.09,149.24,164.49,45144833,AMT,Real Estate
2018-10-31,146.09,161.71,140.395,155.81,53085930,AMT,Real Estate
2018-09-28,148.73,149.6,143.3,145.3,26875721,AMT,Real Estate
2018-08-31,147.67,151.92,147.19,149.12,31331626,AMT,Real Estate
2018-07-31,144.33,150.82,138.51,148.24,41107119,AMT,Real Estate
2018-06-29,138.2,145.0,136.03,144.17,46093568,AMT,Real Estate
2018-05-31,137.07,141.01,133.85,138.37,46519505,AMT,Real Estate
2018-04-30,145.73,146.99,133.53,136.36,51172616,AMT,Real Estate
2018-03-29,139.0,150.12,132.02,145.34,55320721,AMT,Real Estate
2018-02-28,148.02,149.36,130.37,139.33,60156236,AMT,Real Estate
2018-01-31,143.16,148.84,132.54,147.7,53417978,AMT,Real Estate
2017-12-29,144.22,145.6,138.52,142.67,39371516,AMT,Real Estate
2017-11-30,144.25,155.28,140.23,143.93,44273189,AMT,Real Estate
2017-10-31,137.03,144.8,135.66,143.67,42685017,AMT,Real Estate
2017-09-29,148.33,148.33,133.74,136.68,46095602,AMT,Real Estate
2017-08-31,136.23,148.71,135.51,148.05,32021179,AMT,Real Estate
2017-07-31,132.62,139.5,130.82,136.33,32089898,AMT,Real Estate
2017-06-30,131.95,136.29,125.24,132.32,38044170,AMT,Real Estate
2017-05-31,126.56,137.12,125.5,131.19,42597240,AMT,Real Estate
2017-04-28,121.43,126.36,120.44,125.94,44522147,AMT,Real Estate
2017-03-31,114.78,121.85,112.78,121.54,51611233,AMT,Real Estate
2017-02-28,103.6,115.69,102.91,114.79,41930135,AMT,Real Estate
2017-01-31,106.73,106.94,102.51,103.5,38629282,AMT,Real Estate
2016-12-30,101.36,108.17,99.72,105.68,53634006,AMT,Real Estate
2016-11-30,117.19,117.46,100.41,102.27,72504497,AMT,Real Estate
2016-10-31,112.9,118.09,106.04,117.19,45930815,AMT,Real Estate
2016-09-30,113.7,117.31,107.57,113.33,43186603,AMT,Real Estate
2016-08-31,115.87,117.25,112.29,113.38,36900078,AMT,Real Estate
2016-07-29,113.94,118.26,111.62,115.77,38532320,AMT,Real Estate
2016-06-30,105.46,113.63,104.87,113.61,41789983,AMT,Real Estate
2016-05-31,105.0,107.24,103.11,105.78,31961093,AMT,Real Estate
