timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,64.97,65.8,64.49,64.7,9688387,CVS,Health Care
2020-06-30,65.44,70.64,61.82,64.97,174158030,CVS,Health Care
2020-05-29,60.79,67.73,58.9402,65.57,161610099,CVS,Health Care
2020-04-30,57.75,65.0,54.07,61.55,189302435,CVS,Health Care
2020-03-31,60.67,66.98,52.04,59.33,333193694,CVS,Health Care
2020-02-28,68.4,75.25,57.1,59.18,189214947,CVS,Health Care
2020-01-31,74.65,76.44,67.4,67.82,140433403,CVS,Health Care
2019-12-31,75.22,75.91,72.64,74.29,112359536,CVS,Health Care
2019-11-29,66.86,77.03,66.71,75.27,165830304,CVS,Health Care
2019-10-31,63.2,67.325,60.139,66.39,142592605,CVS,Health Care
2019-09-30,60.44,65.25,59.69,63.07,134847359,CVS,Health Care
2019-08-30,55.8,62.58,53.0,60.92,207512484,CVS,Health Care
2019-07-31,55.1,60.13,54.1218,55.87,155576926,CVS,Health Care
2019-06-28,52.54,55.75,52.46,54.49,172385273,CVS,Health Care
2019-05-31,56.85,57.75,51.72,52.37,229170962,CVS,Health Care
2019-04-30,54.16,54.89,51.77,54.38,264899020,CVS,Health Care
2019-03-29,58.15,58.74,51.93,53.93,340702729,CVS,Health Care
2019-02-28,64.5,70.32,57.56,57.83,262073782,CVS,Health Care
2019-01-31,64.86,69.74,63.14,65.55,216611864,CVS,Health Care
2018-12-31,80.2,80.67,62.06,65.52,210945504,CVS,Health Care
2018-11-30,72.74,82.1488,72.26,80.2,190285490,CVS,Health Care
2018-10-31,79.05,80.56,69.17,72.39,172425331,CVS,Health Care
2018-09-28,74.98,79.97,72.8201,78.72,152917289,CVS,Health Care
2018-08-31,65.0,75.31,63.23,75.24,154753793,CVS,Health Care
2018-07-31,63.94,70.34,63.71,64.86,135349210,CVS,Health Care
2018-06-29,63.85,72.92,62.66,64.35,196073058,CVS,Health Care
2018-05-31,69.23,69.75,60.32,63.39,199917141,CVS,Health Care
2018-04-30,62.06,71.08,60.4482,69.83,176909723,CVS,Health Care
2018-03-29,67.7,69.56,60.14,62.21,175190112,CVS,Health Care
2018-02-28,78.3,79.2042,67.31,67.73,173978082,CVS,Health Care
2018-01-31,73.06,83.88,72.87,78.69,180108411,CVS,Health Care
2017-12-29,75.62,76.59,69.52,72.5,216581189,CVS,Health Care
