timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,703.04,735.99,701.2,718.41,1015028,EQIX,Real Estate
2020-06-30,699.87,718.33,647.76,702.3,12275348,EQIX,Real Estate
2020-05-29,670.34,701.1543,639.43,697.63,12504503,EQIX,Real Estate
2020-04-30,608.18,715.75,580.69,675.2,11606266,EQIX,Real Estate
2020-03-31,577.88,649.0,477.87,624.57,19125630,EQIX,Real Estate
2020-02-28,592.56,657.0,563.55,572.8,8906677,EQIX,Real Estate
2020-01-31,583.91,608.105,575.01,589.73,8097014,EQIX,Real Estate
2019-12-31,564.81,584.45,543.11,583.7,7619137,EQIX,Real Estate
2019-11-29,565.33,573.18,519.37,566.85,8998113,EQIX,Real Estate
2019-10-31,574.84,582.68,553.665,566.78,7540343,EQIX,Real Estate
2019-09-30,555.38,609.97,525.375,576.8,8891545,EQIX,Real Estate
2019-08-30,529.48,562.4699,504.91,556.28,8913968,EQIX,Real Estate
2019-07-31,509.04,528.98,484.235,502.1,7234404,EQIX,Real Estate
2019-06-28,487.61,516.95,471.8,504.29,7628609,EQIX,Real Estate
2019-05-31,453.6,500.2,449.53,485.79,8913023,EQIX,Real Estate
2019-04-30,443.555,467.99,440.72,454.7,7392054,EQIX,Real Estate
2019-03-29,424.46,460.88,420.0,453.16,11463934,EQIX,Real Estate
2019-02-28,393.45,433.6352,372.7467,423.5,11797831,EQIX,Real Estate
2019-01-31,349.28,394.83,343.58,394.0,13589078,EQIX,Real Estate
2018-12-31,387.45,396.59,335.29,352.56,11322675,EQIX,Real Estate
2018-11-30,379.82,401.68,374.24,385.28,12199478,EQIX,Real Estate
2018-10-31,433.26,436.15,374.39,378.74,11844431,EQIX,Real Estate
2018-09-28,434.33,449.91,421.5,432.89,9041289,EQIX,Real Estate
2018-08-31,437.0,457.99,426.0,436.13,11819664,EQIX,Real Estate
2018-07-31,429.34,449.39,423.17,439.28,10038983,EQIX,Real Estate
2018-06-29,397.19,432.42,390.74,429.89,14464703,EQIX,Real Estate
2018-05-31,420.79,433.26,379.66,396.85,13311312,EQIX,Real Estate
2018-04-30,419.12,423.4,399.92,420.79,10097571,EQIX,Real Estate
2018-03-29,393.01,421.59,370.79,418.14,14308619,EQIX,Real Estate
2018-02-28,452.69,457.86,384.22,392.1,16667752,EQIX,Real Estate
2018-01-31,453.53,461.73,428.3,455.19,14045362,EQIX,Real Estate
2017-12-29,464.75,471.39,441.0,453.22,8487025,EQIX,Real Estate
2017-11-30,464.97,495.345,461.295,464.49,7830541,EQIX,Real Estate
2017-10-31,447.33,472.71,439.54,463.5,7385051,EQIX,Real Estate
2017-09-29,468.24,475.28,430.71,446.3,11756412,EQIX,Real Estate
2017-08-31,452.25,470.44,437.32,468.41,9414738,EQIX,Real Estate
2017-07-31,431.54,451.29,416.64,450.73,7551818,EQIX,Real Estate
2017-06-30,441.7,447.26,416.72,429.16,12207718,EQIX,Real Estate
2017-05-31,417.69,446.58,416.3,441.01,9868620,EQIX,Real Estate
2017-04-28,400.94,418.12,396.94,417.7,8499197,EQIX,Real Estate
2017-03-31,375.98,403.62,361.9,400.37,19790012,EQIX,Real Estate
2017-02-28,385.0,388.3,368.57,376.07,9257827,EQIX,Real Estate
2017-01-31,357.29,390.52,355.18,384.98,9068743,EQIX,Real Estate
2016-12-30,338.45,369.67,327.37,357.41,13249685,EQIX,Real Estate
2016-11-30,357.78,358.1995,314.55,338.76,16002300,EQIX,Real Estate
2016-10-31,360.63,374.26,342.28,357.28,9974382,EQIX,Real Estate
2016-09-30,368.41,379.23,348.1,360.25,13557827,EQIX,Real Estate
2016-08-31,373.93,380.0,361.22,368.65,11432290,EQIX,Real Estate
2016-07-29,387.82,391.07,370.005,372.87,8881426,EQIX,Real Estate
2016-06-30,360.97,387.93,360.2101,387.73,15960845,EQIX,Real Estate
2016-05-31,331.1,368.89,326.56,362.0,13840192,EQIX,Real Estate
2016-04-29,328.31,334.62,316.3,330.35,10702605,EQIX,Real Estate
2016-03-31,306.24,331.8,294.05,330.71,17649061,EQIX,Real Estate
2016-02-29,310.05,315.81,255.45,303.69,24894439,EQIX,Real Estate
2016-01-29,299.75,318.36,281.85,310.57,25753143,EQIX,Real Estate
2015-12-31,297.7,305.0,287.3,302.4,15644582,EQIX,Real Estate
2015-11-30,297.77,304.73,282.8,296.5,15801023,EQIX,Real Estate
2015-10-30,274.86,301.77,262.6,296.68,17905164,EQIX,Real Estate
2015-09-30,265.09,294.49,260.43,273.4,19660772,EQIX,Real Estate
2015-08-31,279.77,288.5,250.86,269.77,19163649,EQIX,Real Estate
2015-07-31,255.54,288.12,251.45,278.91,12471441,EQIX,Real Estate
2015-06-30,274.13,274.13,249.96,254.0,15872072,EQIX,Real Estate
2015-05-29,258.93,270.515,256.04,268.07,16585967,EQIX,Real Estate
2015-04-30,233.31,262.0,230.61,255.93,13329954,EQIX,Real Estate
2015-03-31,224.93,244.97,219.295,232.85,28646588,EQIX,Real Estate
2015-02-27,218.05,238.81,213.89,224.175,11463964,EQIX,Real Estate
2015-01-30,228.51,233.6,214.55,216.86,12415547,EQIX,Real Estate
2014-12-31,227.15,235.84,217.68,226.73,12318952,EQIX,Real Estate
2014-11-28,208.84,229.16,208.04,227.17,10783659,EQIX,Real Estate
2014-10-31,212.41,212.41,189.55,208.9,20572090,EQIX,Real Estate
2014-09-30,217.65,221.39,205.51,212.48,12818067,EQIX,Real Estate
2014-08-29,213.56,224.48,207.55,218.26,9733100,EQIX,Real Estate
2014-07-31,211.01,220.852,207.03,214.52,13167500,EQIX,Real Estate
2014-06-30,199.11,211.86,196.0,210.09,17994600,EQIX,Real Estate
2014-05-30,188.01,200.46,182.29,198.75,14663300,EQIX,Real Estate
2014-04-30,185.48,188.62,169.95,187.81,22044200,EQIX,Real Estate
2014-03-31,188.97,194.99,178.69,184.84,14711400,EQIX,Real Estate
2014-02-28,185.78,196.2,178.58,189.96,19073500,EQIX,Real Estate
2014-01-31,177.63,187.67,171.91,185.2,20420500,EQIX,Real Estate
2013-12-31,161.1,178.68,155.83,177.45,16936000,EQIX,Real Estate
2013-11-29,161.0,172.58,152.82,160.7,22476100,EQIX,Real Estate
2013-10-31,183.11,185.44,161.23,161.252,28124000,EQIX,Real Estate
2013-09-30,175.56,184.929,170.31,183.65,14596100,EQIX,Real Estate
2013-08-30,180.18,183.91,163.73,173.74,23303800,EQIX,Real Estate
2013-07-31,187.53,205.36,177.53,179.35,23132400,EQIX,Real Estate
2013-06-28,202.35,205.26,172.97,184.72,34278600,EQIX,Real Estate
2013-05-31,214.75,231.56,200.28,202.64,17635300,EQIX,Real Estate
2013-04-30,217.0,222.71,205.0,214.1,19186600,EQIX,Real Estate
2013-03-28,210.17,218.86,205.12,216.31,11644600,EQIX,Real Estate
2013-02-28,217.55,231.26,206.62,211.55,20170300,EQIX,Real Estate
2013-01-31,211.23,226.34,210.35,215.43,12732900,EQIX,Real Estate
2012-12-31,186.16,208.909,179.7,206.2,17072300,EQIX,Real Estate
2012-11-30,179.96,196.98,170.71,185.76,20960000,EQIX,Real Estate
2012-10-31,206.43,207.766,176.72,180.59,17401500,EQIX,Real Estate
2012-09-28,197.76,212.0,185.075,206.05,23329700,EQIX,Real Estate
2012-08-31,179.32,203.16,173.36,197.65,15718400,EQIX,Real Estate
2012-07-31,176.03,189.28,158.98,178.18,20421400,EQIX,Real Estate
2012-06-29,159.54,178.42,154.16,175.65,23282700,EQIX,Real Estate
2012-05-31,164.37,167.32,146.48,163.11,27286200,EQIX,Real Estate
2012-04-30,156.04,172.44,147.35,164.2,25429500,EQIX,Real Estate
2012-03-30,141.18,159.5,134.15,157.45,24554600,EQIX,Real Estate
2012-02-29,121.16,143.0,119.02,140.18,25902800,EQIX,Real Estate
2012-01-31,103.09,121.75,99.0,119.96,20869300,EQIX,Real Estate
2011-12-30,99.37,104.58,97.33,101.4,11085500,EQIX,Real Estate
2011-11-30,93.25,103.1992,90.27,100.02,13667200,EQIX,Real Estate
2011-10-31,88.1,102.31,82.43,96.01,15734000,EQIX,Real Estate
2011-09-30,94.27,96.85,86.07,88.83,16898000,EQIX,Real Estate
2011-08-31,105.65,106.0,80.85,94.04,23470700,EQIX,Real Estate
2011-07-29,100.82,107.0,96.26,104.47,13088000,EQIX,Real Estate
2011-06-30,101.41,101.93,95.1302,101.02,11114300,EQIX,Real Estate
2011-05-31,100.67,102.41,96.45,101.4,11986600,EQIX,Real Estate
2011-04-29,91.55,104.41,90.46,100.66,14936900,EQIX,Real Estate
2011-03-31,86.76,91.85,82.19,91.1,16846000,EQIX,Real Estate
2011-02-28,88.94,93.65,84.89,86.44,20954900,EQIX,Real Estate
2011-01-31,82.23,93.02,81.075,88.42,17853900,EQIX,Real Estate
2010-12-31,78.83,86.2,78.78,81.26,19019200,EQIX,Real Estate
2010-11-30,84.36,86.88,77.45,77.6,22474900,EQIX,Real Estate
2010-10-29,102.35,105.09,69.42,84.24,78522100,EQIX,Real Estate
2010-09-30,92.0,104.435,91.64,102.35,12134500,EQIX,Real Estate
2010-08-31,93.99,94.74,88.44,91.21,16004500,EQIX,Real Estate
2010-07-30,80.41,94.25,76.29,93.51,22056600,EQIX,Real Estate
2010-06-30,90.92,93.22,78.72,81.22,27835700,EQIX,Real Estate
2010-05-28,100.27,107.44,87.86,92.01,25348800,EQIX,Real Estate
2010-04-30,98.33,104.14,93.2,100.65,19242800,EQIX,Real Estate
