timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,230.08,243.54,229.5,237.02,701458,ESS,Real Estate
2020-06-30,242.71,276.44,221.985,229.17,12369364,ESS,Real Estate
2020-05-29,238.26,254.84,218.53,242.77,9348757,ESS,Real Estate
2020-04-30,206.22,262.23,188.53,244.1,11670898,ESS,Real Estate
2020-03-31,284.67,303.22,175.81,220.24,16047516,ESS,Real Estate
2020-02-28,311.01,329.74,278.2,283.36,8736874,ESS,Real Estate
2020-01-31,302.23,314.68,294.54,309.76,11224372,ESS,Real Estate
2019-12-31,311.82,313.43,294.5,300.86,7970798,ESS,Real Estate
2019-11-29,327.77,329.865,308.62,312.18,7974795,ESS,Real Estate
2019-10-31,326.19,334.165,320.81,327.13,7267077,ESS,Real Estate
2019-09-30,320.24,331.62,315.54,326.65,6073534,ESS,Real Estate
2019-08-30,302.22,322.675,291.19,321.26,7690566,ESS,Real Estate
2019-07-31,293.15,310.54,287.83,302.22,5694850,ESS,Real Estate
2019-06-28,292.75,305.23,283.721,291.93,5552545,ESS,Real Estate
2019-05-31,282.13,293.54,276.55,291.74,5881018,ESS,Real Estate
2019-04-30,288.84,292.47,271.58,282.5,6411599,ESS,Real Estate
2019-03-29,280.25,294.61,276.24,289.24,5731065,ESS,Real Estate
2019-02-28,271.31,284.21,265.54,279.84,5055323,ESS,Real Estate
2019-01-31,243.35,276.55,235.51,271.2,7614512,ESS,Real Estate
2018-12-31,262.67,267.41,237.84,245.21,6947777,ESS,Real Estate
2018-11-30,251.5,262.59,246.85,262.51,8160621,ESS,Real Estate
2018-10-31,246.78,259.11,237.02,250.78,11791147,ESS,Real Estate
2018-09-28,245.24,250.94,238.29,246.71,7291676,ESS,Real Estate
2018-08-31,239.86,248.56,232.03,246.28,7455572,ESS,Real Estate
2018-07-31,238.77,243.7,227.05,240.45,7290978,ESS,Real Estate
2018-06-29,239.75,243.49,230.29,239.07,10607940,ESS,Real Estate
2018-05-31,239.9,246.49,226.22,239.03,7686719,ESS,Real Estate
2018-04-30,240.64,247.235,235.43,239.69,7749277,ESS,Real Estate
2018-03-29,222.87,243.91,220.32,240.68,9430288,ESS,Real Estate
2018-02-28,233.03,233.815,214.03,223.83,10116984,ESS,Real Estate
2018-01-31,241.96,244.82,222.78,232.98,8156300,ESS,Real Estate
2017-12-29,247.64,252.13,237.33,241.37,7854660,ESS,Real Estate
2017-11-30,262.96,264.065,244.13,246.99,7127120,ESS,Real Estate
2017-10-31,254.71,263.21,251.875,262.43,5460234,ESS,Real Estate
2017-09-29,267.09,270.04,249.4595,254.03,7459357,ESS,Real Estate
2017-08-31,263.16,268.59,258.85,265.97,7460657,ESS,Real Estate
2017-07-31,258.4,268.57,250.36,261.7,6580437,ESS,Real Estate
2017-06-30,256.81,268.97,254.84,257.27,7048173,ESS,Real Estate
2017-05-31,247.1,258.1,244.8,256.92,8528775,ESS,Real Estate
2017-04-28,231.63,246.5,229.14,244.47,7075193,ESS,Real Estate
2017-03-31,233.27,238.57,222.56,231.53,7910690,ESS,Real Estate
2017-02-28,224.12,235.92,218.41,234.7,6720211,ESS,Real Estate
2017-01-31,233.8,234.77,222.9,224.3,7716926,ESS,Real Estate
2016-12-30,214.67,234.07,211.04,232.5,8734476,ESS,Real Estate
2016-11-30,213.54,223.605,208.92,215.92,9631429,ESS,Real Estate
2016-10-31,222.1,222.63,200.01,214.09,9315058,ESS,Real Estate
2016-09-30,226.84,233.81,218.23,222.7,7898916,ESS,Real Estate
2016-08-31,233.74,236.56,220.59,227.1,6646297,ESS,Real Estate
2016-07-29,228.09,235.43,217.16,233.88,8214883,ESS,Real Estate
2016-06-30,225.5,228.09,207.2,228.09,11291356,ESS,Real Estate
2016-05-31,219.42,237.5,219.0,227.23,7256792,ESS,Real Estate
2016-04-29,233.14,234.985,217.465,220.45,9637496,ESS,Real Estate
2016-03-31,210.64,234.95,209.51,233.86,9805988,ESS,Real Estate
