timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,31.93,32.21,31.485,31.81,8744574,KHC,Consumer Staples
2020-06-30,30.5,34.0,30.32,31.89,151533997,KHC,Consumer Staples
2020-05-29,29.99,31.14,28.12,30.47,115270460,KHC,Consumer Staples
2020-04-30,24.02,31.035,23.36,30.33,158556546,KHC,Consumer Staples
2020-03-31,24.75,27.38,19.99,24.74,269494229,KHC,Consumer Staples
2020-02-28,29.2,30.55,24.01,24.77,230030086,KHC,Consumer Staples
2020-01-31,32.29,32.42,29.035,29.2,124698389,KHC,Consumer Staples
2019-12-31,30.5,32.315,30.33,32.13,122481545,KHC,Consumer Staples
2019-11-29,32.12,33.43,30.16,30.5,141510921,KHC,Consumer Staples
2019-10-31,27.93,32.463,25.97,32.33,157699831,KHC,Consumer Staples
2019-09-30,25.42,29.76,25.22,27.935,169591853,KHC,Consumer Staples
2019-08-30,32.1,33.25,24.86,25.52,241130510,KHC,Consumer Staples
2019-07-31,31.26,32.39,30.23,32.01,134467158,KHC,Consumer Staples
2019-06-28,27.68,31.5,27.67,31.04,223226677,KHC,Consumer Staples
2019-05-31,33.2,33.57,26.96,27.65,200762207,KHC,Consumer Staples
2019-04-30,32.8,33.78,32.02,33.24,153247647,KHC,Consumer Staples
2019-03-29,33.41,33.55,31.53,32.65,241984549,KHC,Consumer Staples
2019-02-28,48.14,48.66,31.82,33.19,375186999,KHC,Consumer Staples
2019-01-31,42.75,48.1,42.2848,48.06,137562738,KHC,Consumer Staples
2018-12-31,51.4,51.69,41.6,43.04,151101923,KHC,Consumer Staples
2018-11-30,55.13,56.5,50.411,51.12,143400938,KHC,Consumer Staples
2018-10-31,55.49,58.08,53.03,54.97,150237066,KHC,Consumer Staples
2018-09-28,58.45,59.91,54.32,55.11,127200900,KHC,Consumer Staples
2018-08-31,60.0,64.99,57.63,58.27,137583563,KHC,Consumer Staples
2018-07-31,62.5,64.75,58.94,60.25,86946652,KHC,Consumer Staples
2018-06-29,57.64,64.54,57.01,62.82,96729783,KHC,Consumer Staples
2018-05-31,56.32,59.86,54.11,57.48,125418591,KHC,Consumer Staples
2018-04-30,61.94,62.0,56.11,56.38,118287527,KHC,Consumer Staples
2018-03-29,67.14,67.98899999999999,59.95,62.29,106034908,KHC,Consumer Staples
2018-02-28,78.12,78.95,67.03,67.05,120611371,KHC,Consumer Staples
2018-01-31,78.22,80.67,76.6,78.39,79380712,KHC,Consumer Staples
2017-12-29,80.95,82.48,77.07,77.76,63912768,KHC,Consumer Staples
2017-11-30,77.71,82.18,75.51,81.37,76060368,KHC,Consumer Staples
2017-10-31,77.55,78.94,75.21,77.33,75507353,KHC,Consumer Staples
2017-09-29,80.75,82.98,77.4,77.55,69589424,KHC,Consumer Staples
2017-08-31,87.38,87.77,80.29,80.75,71045742,KHC,Consumer Staples
2017-07-31,85.96,90.38,82.2,87.46,56463178,KHC,Consumer Staples
2017-06-30,92.35,93.88,85.45,85.64,60652284,KHC,Consumer Staples
2017-05-31,90.65,93.09,87.14,92.2,52143653,KHC,Consumer Staples
2017-04-28,90.8,92.895,89.83,90.39,42529379,KHC,Consumer Staples
2017-03-31,91.77,93.67,90.44,90.81,51419358,KHC,Consumer Staples
2017-02-28,88.89,97.77,86.35,91.51,100858820,KHC,Consumer Staples
2017-01-31,87.85,89.9,85.41,89.29,49512711,KHC,Consumer Staples
2016-12-30,81.51,88.16,79.69,87.32,64486720,KHC,Consumer Staples
2016-11-30,89.0,89.18,79.92,81.65,80047448,KHC,Consumer Staples
2016-10-31,89.25,90.15,86.5,88.95,47822980,KHC,Consumer Staples
2016-09-30,89.57,90.54,85.35,89.51,50572406,KHC,Consumer Staples
2016-08-31,86.3,90.49,84.25,89.49,52563451,KHC,Consumer Staples
2016-07-29,88.58,90.26,85.2,86.39,51884357,KHC,Consumer Staples
2016-06-30,83.09,88.63,82.5,88.48,71667328,KHC,Consumer Staples
2016-05-31,78.07,86.66,78.0,83.19,78024188,KHC,Consumer Staples
2016-04-29,78.53,79.55,76.6408,78.07,55299289,KHC,Consumer Staples
2016-03-31,77.66,79.05,75.55,78.56,77738713,KHC,Consumer Staples
2016-02-29,77.37,78.9,70.01,77.02,93718750,KHC,Consumer Staples
2016-01-29,71.38,78.22,68.18,78.06,80776751,KHC,Consumer Staples
2015-12-31,74.23,75.0,69.39,72.76,81406069,KHC,Consumer Staples
2015-11-30,78.43,78.93,70.25,73.69,69193013,KHC,Consumer Staples
2015-10-30,71.27,79.94,69.37,77.97,58115293,KHC,Consumer Staples
2015-09-30,71.23,77.7599,68.65,70.58,74831078,KHC,Consumer Staples
2015-08-31,80.0,81.19,61.42,72.66,76568769,KHC,Consumer Staples
