timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,174.625,179.8,172.56,177.21,12748637,PYPL,Information Technology
2020-06-30,154.9,175.4,150.0,174.23,158098176,PYPL,Information Technology
2020-05-29,119.85,155.33,119.43,155.01,209529331,PYPL,Information Technology
2020-04-30,92.72,124.03,89.88,123.0,198499701,PYPL,Information Technology
2020-03-31,107.46,115.39,82.07,95.74,279579901,PYPL,Information Technology
2020-02-28,114.3,124.45,103.72,107.99,149113629,PYPL,Information Technology
2020-01-31,109.47,119.6,107.44,113.89,161428956,PYPL,Information Technology
2019-12-31,107.96,110.18,103.26,108.17,128079674,PYPL,Information Technology
2019-11-29,104.7,108.39,99.6,108.01,136683888,PYPL,Information Technology
2019-10-31,104.0,108.46,94.77,104.1,169274955,PYPL,Information Technology
2019-09-30,107.92,111.67,101.1,103.59,135943473,PYPL,Information Technology
2019-08-30,110.45,112.4496,102.21,109.05,149559462,PYPL,Information Technology
2019-07-31,116.72,121.48,108.77,110.4,143259213,PYPL,Information Technology
2019-06-28,111.09,119.95,103.96,114.46,117082281,PYPL,Information Technology
2019-05-31,113.21,114.66,106.52,109.75,111143761,PYPL,Information Technology
2019-04-30,104.99,113.22,102.65,112.77,150536307,PYPL,Information Technology
2019-03-29,98.92,104.7,94.51,103.84,129783268,PYPL,Information Technology
2019-02-28,88.36,98.525,88.25,98.07,131895095,PYPL,Information Technology
2019-01-31,82.38,94.58,81.91,88.76,204052637,PYPL,Information Technology
2018-12-31,87.29,88.84,76.7,84.09,180430955,PYPL,Information Technology
2018-11-30,84.18,89.06,75.47,85.81,161846131,PYPL,Information Technology
2018-10-31,88.13,88.8,74.66,84.19,304190674,PYPL,Information Technology
2018-09-28,91.94,93.7,87.39,87.84,154505329,PYPL,Information Technology
2018-08-31,82.24,93.01,82.0097,92.33,140186341,PYPL,Information Technology
2018-07-31,82.75,92.35,81.3,82.14,166594227,PYPL,Information Technology
2018-06-29,82.5497,87.55,80.16,83.27,160930330,PYPL,Information Technology
2018-05-31,74.15,83.06,70.22,82.07,189936622,PYPL,Information Technology
2018-04-30,75.23,80.89,72.52,74.61,164399150,PYPL,Information Technology
2018-03-29,79.6,83.99,74.55,75.87,176119130,PYPL,Information Technology
2018-02-28,79.95,82.17,71.63,79.41,240516613,PYPL,Information Technology
2018-01-31,74.235,86.32,73.43,85.32,171293667,PYPL,Information Technology
2017-12-29,75.22,76.44,68.61,73.62,163730569,PYPL,Information Technology
2017-11-30,72.78,79.385,71.67,75.73,184773235,PYPL,Information Technology
2017-10-31,64.5,72.74,63.69,72.56,209696084,PYPL,Information Technology
2017-09-29,61.98,65.24,60.58,64.03,138505568,PYPL,Information Technology
2017-08-31,59.0,62.029,57.58,61.68,135020789,PYPL,Information Technology
2017-07-31,54.14,61.3,52.83,58.55,196872172,PYPL,Information Technology
2017-06-30,52.48,55.14,50.83,53.67,187443156,PYPL,Information Technology
2017-05-31,47.39,52.24,47.32,52.21,168326829,PYPL,Information Technology
2017-04-28,43.2,48.1,42.06,47.72,138531877,PYPL,Information Technology
2017-03-31,42.31,43.8,41.74,43.02,126964092,PYPL,Information Technology
2017-02-28,39.96,43.07,39.02,42.0,126125456,PYPL,Information Technology
2017-01-31,40.29,42.5,39.42,39.78,148631253,PYPL,Information Technology
2016-12-30,39.56,40.74,38.06,39.47,115162681,PYPL,Information Technology
2016-11-30,41.68,42.295,38.45,39.28,183718236,PYPL,Information Technology
2016-10-31,40.87,44.52,38.75,41.66,204950762,PYPL,Information Technology
2016-09-30,37.27,41.3,36.3,40.97,192970813,PYPL,Information Technology
2016-08-31,37.43,38.65,36.28,37.15,139325649,PYPL,Information Technology
2016-07-29,36.6,40.45,35.715,37.24,209929754,PYPL,Information Technology
2016-06-30,37.81,38.685,34.0,36.51,187408390,PYPL,Information Technology
2016-05-31,39.07,40.3143,37.31,37.79,176578531,PYPL,Information Technology
2016-04-29,38.51,41.49,37.34,39.18,154169929,PYPL,Information Technology
2016-03-31,38.52,41.75,37.0,38.6,189254761,PYPL,Information Technology
2016-02-29,35.65,38.93,31.64,38.14,248604440,PYPL,Information Technology
2016-01-29,35.13,36.26,30.52,36.14,205399551,PYPL,Information Technology
2015-12-31,35.41,37.68,33.85,36.2,156956489,PYPL,Information Technology
2015-11-30,35.58,38.52,34.5,35.26,197879487,PYPL,Information Technology
2015-10-30,30.82,36.65,30.75,36.01,197323781,PYPL,Information Technology
2015-09-30,34.24,35.46,30.3,31.04,198835246,PYPL,Information Technology
2015-08-31,39.25,39.91,30.0,35.0,246774010,PYPL,Information Technology
