timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,625.0,630.76,601.02,622.45,1764810,REGN,Health Care
2020-06-30,605.0,646.33,575.89,623.65,25286111,REGN,Health Care
2020-05-29,524.23,615.36,514.55,612.81,39440333,REGN,Health Care
2020-04-30,484.14,574.32,476.4506,525.88,23569526,REGN,Health Care
2020-03-31,445.0,518.0,418.01,488.29,37900523,REGN,Health Care
2020-02-28,339.69,470.0,339.39,444.57,25181830,REGN,Health Care
2020-01-31,378.0,396.47,328.125,337.94,16103966,REGN,Health Care
2019-12-31,368.18,382.25,357.0,375.48,15157721,REGN,Health Care
2019-11-29,309.0,372.59,307.44,369.0,18605310,REGN,Health Care
2019-10-31,277.27,313.39,272.26,306.28,15453874,REGN,Health Care
2019-09-30,289.2,299.98,271.37,277.4,13793346,REGN,Health Care
2019-08-30,306.68,313.93,279.39,290.05,14653115,REGN,Health Care
2019-07-31,317.61,320.76,287.66,304.76,17644503,REGN,Health Care
2019-06-28,301.13,327.83,295.27,313.0,17375327,REGN,Health Care
2019-05-31,343.04,345.44,295.7251,301.72,20247070,REGN,Health Care
2019-04-30,412.51,415.89,329.0,343.14,18333179,REGN,Health Care
2019-03-29,434.8,442.0,388.49,410.62,15042075,REGN,Health Care
2019-02-28,428.52,434.35,399.2929,430.74,11181621,REGN,Health Care
2019-01-31,368.15,430.58,366.01,429.27,16968236,REGN,Health Care
2018-12-31,372.5,396.32,339.1345,373.5,15396370,REGN,Health Care
2018-11-30,339.0,368.24,331.5401,365.65,14346345,REGN,Health Care
2018-10-31,406.41,410.0,327.58,339.24,18094514,REGN,Health Care
2018-09-28,405.5,410.74,375.21,404.04,11058877,REGN,Health Care
2018-08-31,366.74,416.49,361.19,406.75,17710131,REGN,Health Care
2018-07-31,344.95,376.75,342.58,368.01,16191350,REGN,Health Care
2018-06-29,301.34,349.24,297.78,344.99,17613089,REGN,Health Care
2018-05-31,302.93,314.8376,281.89,300.32,21212527,REGN,Health Care
2018-04-30,342.45,345.49,298.19,303.68,18050058,REGN,Health Care
2018-03-29,320.35,352.59,317.71,344.36,16841606,REGN,Health Care
2018-02-28,366.69,370.99,313.531,320.44,23219350,REGN,Health Care
2018-01-31,379.48,396.78,363.0,366.65,16572188,REGN,Health Care
2017-12-29,356.37,390.91,355.03,375.96,12687363,REGN,Health Care
2017-11-30,403.81,432.5,353.1358,361.86,21314408,REGN,Health Care
2017-10-31,448.31,477.0,400.19,402.62,17749085,REGN,Health Care
2017-09-29,498.24,505.49,426.47,447.12,15941737,REGN,Health Care
2017-08-31,486.6,502.42,459.14,496.9,15066823,REGN,Health Care
2017-07-31,494.2,526.12,482.51,491.62,13931622,REGN,Health Care
2017-06-30,460.0,543.55,453.54,491.14,25547075,REGN,Health Care
2017-05-31,388.8,464.4,388.22,459.06,20397577,REGN,Health Care
2017-04-28,388.0,393.5,360.0,388.49,16488785,REGN,Health Care
2017-03-31,378.0,401.21,364.44,387.51,22479802,REGN,Health Care
2017-02-28,358.74,384.58,347.0,373.5,17102099,REGN,Health Care
2017-01-31,370.84,389.22,340.09,359.29,21783768,REGN,Health Care
2016-12-30,379.48,396.675,348.82,367.09,17773027,REGN,Health Care
2016-11-30,345.52,452.96,325.35,379.24,24679151,REGN,Health Care
2016-10-31,402.02,407.79,344.85,345.02,12729555,REGN,Health Care
2016-09-30,394.75,424.35,384.01,402.02,16500033,REGN,Health Care
2016-08-31,425.09,443.99,390.015,392.55,17168907,REGN,Health Care
2016-07-29,349.0,425.88,348.43,425.12,15301775,REGN,Health Care
2016-06-30,398.75,408.35,329.09,349.23,20556016,REGN,Health Care
2016-05-31,377.95,402.48,360.25,398.93,20854113,REGN,Health Care
2016-04-29,373.99,433.93,360.81,376.71,20819713,REGN,Health Care
2016-03-31,387.86,419.0,348.96,360.44,20595895,REGN,Health Care
2016-02-29,417.19,437.525,350.26,384.02,19532192,REGN,Health Care
2016-01-29,531.76,532.91,400.0,420.09,21408701,REGN,Health Care
2015-12-31,549.25,563.79,526.261,542.87,12989906,REGN,Health Care
2015-11-30,561.85,592.59,540.26,544.5,15064944,REGN,Health Care
2015-10-30,464.01,578.0,448.1,557.39,19790977,REGN,Health Care
2015-09-30,500.86,557.87,435.515,465.14,20206893,REGN,Health Care
2015-08-31,558.47,605.9299,480.5,513.5,18115649,REGN,Health Care
2015-07-31,515.23,569.9145,503.64,553.66,13332615,REGN,Health Care
2015-06-30,517.08,544.0,482.9175,510.13,17542360,REGN,Health Care
2015-05-29,463.02,519.4587,462.0,512.56,15388267,REGN,Health Care
2015-04-30,450.0,486.0,433.47,457.46,15876961,REGN,Health Care
2015-03-31,416.28,495.5,406.85,451.48,21060037,REGN,Health Care
2015-02-27,419.79,432.38,393.0,413.84,16319011,REGN,Health Care
2015-01-30,413.9,427.45,395.555,416.66,17190270,REGN,Health Care
2014-12-31,413.98,437.6384,383.87,410.25,17009903,REGN,Health Care
2014-11-28,395.27,419.27,365.25,416.11,15016854,REGN,Health Care
2014-10-31,363.95,410.1847,320.06,393.72,20889279,REGN,Health Care
2014-09-30,367.0,369.31,340.39,360.52,16766515,REGN,Health Care
2014-08-29,323.74,354.79,314.0,350.455,13941100,REGN,Health Care
2014-07-31,285.5,336.9399,285.0601,316.22,19959800,REGN,Health Care
2014-06-30,308.7,320.0,269.5,282.47,18195900,REGN,Health Care
2014-05-30,297.1,311.69,276.01,306.96,15361600,REGN,Health Care
