timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,297.72,307.7,291.04,300.58,1235022,SBAC,Real Estate
2020-06-30,314.68,323.025,281.15,297.92,22765822,SBAC,Real Estate
2020-05-29,287.96,315.01,276.36,314.13,14136487,SBAC,Real Estate
2020-04-30,258.3,317.11,252.16,289.92,17521272,SBAC,Real Estate
2020-03-31,266.95,304.61,205.2,269.97,29018105,SBAC,Real Estate
2020-02-28,250.91,309.85,248.73,265.09,16069669,SBAC,Real Estate
2020-01-31,241.15,256.47,235.5,249.56,11302097,SBAC,Real Estate
2019-12-31,236.12,243.95,227.4,240.99,13792965,SBAC,Real Estate
2019-11-29,240.65,244.61,225.0,236.47,11361964,SBAC,Real Estate
2019-10-31,240.84,250.85,229.29,240.65,14448222,SBAC,Real Estate
2019-09-30,262.87,270.42,234.83,241.15,16210735,SBAC,Real Estate
2019-08-30,245.0,266.58,239.62,262.43,12050080,SBAC,Real Estate
2019-07-31,227.48,249.05,221.1,245.41,11978851,SBAC,Real Estate
2019-06-28,217.55,236.56,213.67,224.84,12449330,SBAC,Real Estate
2019-05-31,202.94,218.05,199.2214,216.41,15386798,SBAC,Real Estate
2019-04-30,200.22,204.34,193.91,203.73,12381396,SBAC,Real Estate
2019-03-29,181.21,200.04,178.85,199.66,15981074,SBAC,Real Estate
2019-02-28,182.94,186.35,178.1,180.56,12297733,SBAC,Real Estate
2019-01-31,160.1,182.8,158.075,182.53,14541939,SBAC,Real Estate
2018-12-31,171.81,173.66,155.19,161.89,17756195,SBAC,Real Estate
2018-11-30,162.98,174.19,161.887,170.81,18401150,SBAC,Real Estate
2018-10-31,158.4,164.66,146.13,162.17,19175954,SBAC,Real Estate
2018-09-28,154.77,161.8,154.32,160.63,12165447,SBAC,Real Estate
2018-08-31,157.02,162.66,153.26,155.23,20754575,SBAC,Real Estate
2018-07-31,164.68,167.41,156.39,158.25,19235545,SBAC,Real Estate
2018-06-29,158.51,166.18,155.61,165.12,16893361,SBAC,Real Estate
2018-05-31,161.84,163.13,151.2435,158.07,17679962,SBAC,Real Estate
2018-04-30,171.15,173.85,156.42,160.23,26361643,SBAC,Real Estate
2018-03-29,157.57,175.0,151.425,170.92,23620516,SBAC,Real Estate
2018-02-28,174.41,177.67,154.36,157.27,24845643,SBAC,Real Estate
2018-01-31,163.08,175.9999,154.95,174.5,19903140,SBAC,Real Estate
2017-12-29,169.8,170.64,156.02,163.36,17460560,SBAC,Real Estate
2017-11-30,157.25,173.97,151.43,169.75,24051683,SBAC,Real Estate
2017-10-31,143.82,159.14,142.31,157.18,23733715,SBAC,Real Estate
2017-09-29,154.42,154.5,140.62,144.05,27870990,SBAC,Real Estate
2017-08-31,135.1,154.71,134.5,153.55,46523969,SBAC,Real Estate
2017-07-31,135.05,138.99,133.27,137.55,16740627,SBAC,Real Estate
2017-06-30,138.3,139.75,129.4,134.9,21706987,SBAC,Real Estate
2017-05-31,126.74,140.38,126.0601,138.18,26101621,SBAC,Real Estate
2017-04-28,119.95,127.05,118.59,126.49,18835361,SBAC,Real Estate
2017-03-31,116.16,120.51,112.73,120.37,30764951,SBAC,Real Estate
2017-02-28,105.78,116.695,103.3,115.77,18491344,SBAC,Real Estate
2017-01-31,105.25,107.99,102.06,105.26,18064117,SBAC,Real Estate
2016-12-30,99.1,105.89,95.76,103.26,18114962,SBAC,Real Estate
2016-11-30,113.6,113.9,95.66,98.96,37217088,SBAC,Real Estate
2016-10-31,111.76,116.27,108.15,113.28,15220904,SBAC,Real Estate
2016-09-30,114.53,118.57,107.36,112.16,15867149,SBAC,Real Estate
2016-08-31,114.6,117.6712,110.76,114.15,14630618,SBAC,Real Estate
2016-07-29,108.18,115.29,107.58,115.0,20053685,SBAC,Real Estate
2016-06-30,99.81,108.3,97.94,107.94,22817810,SBAC,Real Estate
2016-05-31,103.53,105.38,96.68,99.4,31388365,SBAC,Real Estate
2016-04-29,99.14,105.53,98.4,103.04,15578349,SBAC,Real Estate
2016-03-31,95.74,101.4,91.06,100.17,24088191,SBAC,Real Estate
2016-02-29,98.58,98.7,82.8,94.89,33823098,SBAC,Real Estate
2016-01-29,104.62,107.44,84.19,99.28,31106601,SBAC,Real Estate
2015-12-31,105.49,111.16,100.12,105.07,22452027,SBAC,Real Estate
2015-11-30,118.76,121.4519,101.12,105.16,27239797,SBAC,Real Estate
2015-10-30,104.13,119.66,102.13,119.02,21248806,SBAC,Real Estate
2015-09-30,115.63,119.82,102.645,104.74,24781053,SBAC,Real Estate
2015-08-31,120.93,128.4699,111.38,118.2,21767416,SBAC,Real Estate
2015-07-31,115.79,121.23,113.92,120.72,17719450,SBAC,Real Estate
2015-06-30,112.36,121.18,111.604,114.97,20709202,SBAC,Real Estate
2015-05-29,116.19,118.888,111.58,111.81,17882472,SBAC,Real Estate
2015-04-30,117.93,124.98,115.47,115.82,17973666,SBAC,Real Estate
2015-03-31,125.0,126.65,117.09,117.1,20921675,SBAC,Real Estate
2015-02-27,116.62,125.0,115.345,124.71,17826171,SBAC,Real Estate
2015-01-30,111.31,121.61,107.53,116.7,19267361,SBAC,Real Estate
2014-12-31,120.97,121.57,108.5,110.76,25196772,SBAC,Real Estate
2014-11-28,112.0,122.79,108.73,121.67,19841089,SBAC,Real Estate
2014-10-31,110.3,116.05,103.83,112.33,24385331,SBAC,Real Estate
2014-09-30,110.39,114.37,108.5601,110.9,21629768,SBAC,Real Estate
2014-08-29,107.22,111.73,104.38,110.29,22518300,SBAC,Real Estate
2014-07-31,102.27,109.52,99.7,106.93,22132000,SBAC,Real Estate
2014-06-30,101.3,102.57,96.64,102.3,17464400,SBAC,Real Estate
2014-05-30,89.93,101.9,89.35,101.5,29699600,SBAC,Real Estate
2014-04-30,90.93,92.669,87.03,89.76,27204800,SBAC,Real Estate
2014-03-31,94.06,96.416,89.95,90.96,23664400,SBAC,Real Estate
2014-02-28,92.86,99.64,89.82,95.17,23822800,SBAC,Real Estate
2014-01-31,89.2,93.79,87.29,92.75,27024200,SBAC,Real Estate
2013-12-31,84.97,90.0,84.56,89.84,21954000,SBAC,Real Estate
2013-11-29,87.85,92.21,83.97,85.17,30833200,SBAC,Real Estate
2013-10-31,80.56,90.13,76.77,87.39,32360400,SBAC,Real Estate
2013-09-30,75.48,80.65,74.52,80.46,23556300,SBAC,Real Estate
2013-08-30,74.31,75.9,71.1,75.0,36401200,SBAC,Real Estate
2013-07-31,74.6,79.97,72.46,74.09,29211600,SBAC,Real Estate
2013-06-28,75.16,77.22,70.55,74.12,37331700,SBAC,Real Estate
2013-05-31,82.31,82.31,74.82,75.27,29951800,SBAC,Real Estate
2013-04-30,72.15,79.9943,71.5,78.99,34891200,SBAC,Real Estate
2013-03-28,70.54,74.04,70.28,72.0,36000300,SBAC,Real Estate
2013-02-28,69.76,71.67,66.68,71.12,44561500,SBAC,Real Estate
2013-01-31,72.13,72.77,68.82,69.654,39931900,SBAC,Real Estate
2012-12-31,69.14,71.17,67.34,70.98,31998800,SBAC,Real Estate
2012-11-30,66.29,69.23,63.85,68.82,24596400,SBAC,Real Estate
2012-10-31,63.01,67.22,62.25,66.3614,36673000,SBAC,Real Estate
2012-09-28,59.58,63.22,59.0,62.9,23414300,SBAC,Real Estate
2012-08-31,59.01,61.84,57.88,59.78,31415900,SBAC,Real Estate
2012-07-31,57.23,60.25,55.56,59.06,29363500,SBAC,Real Estate
2012-06-29,51.46,57.88,50.67,57.05,35938000,SBAC,Real Estate
2012-05-31,53.78,55.85,49.37,51.95,34787100,SBAC,Real Estate
2012-04-30,50.87,54.27,49.59,53.79,38365200,SBAC,Real Estate
2012-03-30,47.09,51.51,45.99,50.81,35456900,SBAC,Real Estate
2012-02-29,45.96,47.78,44.83,46.93,24513200,SBAC,Real Estate
2012-01-31,43.32,46.56,42.53,45.72,22187200,SBAC,Real Estate
2011-12-30,40.8,43.12,39.385,42.96,17626300,SBAC,Real Estate
2011-11-30,36.69,40.893,36.48,40.89,25915300,SBAC,Real Estate
2011-10-31,34.33,39.35,32.36,38.09,28358800,SBAC,Real Estate
2011-09-30,37.95,38.83,34.26,34.48,27989900,SBAC,Real Estate
2011-08-31,38.32,39.06,32.76,37.79,49898300,SBAC,Real Estate
2011-07-29,38.3,40.13,37.14,38.17,21986500,SBAC,Real Estate
2011-06-30,39.28,39.37,36.1,38.19,29980000,SBAC,Real Estate
2011-05-31,38.55,39.78,37.09,39.29,24664800,SBAC,Real Estate
2011-04-29,39.76,40.35,38.09,38.63,22330500,SBAC,Real Estate
2011-03-31,42.27,42.46,36.36,39.68,49273100,SBAC,Real Estate
2011-02-28,41.11,44.44,40.89,42.09,24387200,SBAC,Real Estate
2011-01-31,41.0,41.3,38.98,40.8,26153800,SBAC,Real Estate
2010-12-31,39.4,41.0,38.95,40.94,16832200,SBAC,Real Estate
2010-11-30,39.52,39.93,36.38,39.15,29671900,SBAC,Real Estate
2010-10-29,40.3,41.29,38.37,39.26,28267100,SBAC,Real Estate
2010-09-30,36.32,40.6,35.91,40.3,22742500,SBAC,Real Estate
2010-08-31,36.49,37.32,34.94,35.8,24453000,SBAC,Real Estate
2010-07-30,33.94,36.45,33.06,36.18,27820400,SBAC,Real Estate
2010-06-30,32.86,35.94,31.62,34.01,32315000,SBAC,Real Estate
2010-05-28,35.41,35.99,30.47,33.03,42531500,SBAC,Real Estate
2010-04-30,36.26,37.03,33.529,35.34,32398100,SBAC,Real Estate
2010-03-31,35.69,36.92,34.57,36.07,33660800,SBAC,Real Estate
2010-02-26,33.21,35.6,30.6375,35.36,31974500,SBAC,Real Estate
2010-01-29,34.35,37.12,32.75,33.09,31153200,SBAC,Real Estate
2009-12-31,32.31,35.88,31.53,34.16,22653100,SBAC,Real Estate
2009-11-30,28.23,32.77,27.22,32.04,31009300,SBAC,Real Estate
2009-10-30,27.34,31.59,25.83,28.21,45480200,SBAC,Real Estate
2009-09-30,24.11,28.14,23.23,27.03,34762600,SBAC,Real Estate
2009-08-31,26.34,27.01,23.85,24.11,28718000,SBAC,Real Estate
2009-07-31,24.62,27.32,22.25,26.09,36825100,SBAC,Real Estate
2009-06-30,25.58,26.05,22.13,24.54,48376200,SBAC,Real Estate
2009-05-29,25.2,26.2,21.87,25.57,52271300,SBAC,Real Estate
2009-04-30,23.02,27.54,22.85,25.2,61075500,SBAC,Real Estate
2009-03-31,20.2,24.43,18.92,23.3,51426900,SBAC,Real Estate
2009-02-27,19.69,22.06,17.75,20.78,55897400,SBAC,Real Estate
2009-01-30,16.32,20.96,15.85,19.9,47639100,SBAC,Real Estate
2008-12-31,15.52,17.46,13.31,16.32,49525000,SBAC,Real Estate
2008-11-28,20.85,21.63,9.49,15.79,57730500,SBAC,Real Estate
2008-10-31,25.45,25.68,11.28,20.99,102774100,SBAC,Real Estate
2008-09-30,35.16,35.49,23.1,25.87,55736700,SBAC,Real Estate
2008-08-29,38.24,38.24,33.19,34.93,27375800,SBAC,Real Estate
2008-07-31,35.8,38.5,32.54,37.89,38269800,SBAC,Real Estate
2008-06-30,37.25,38.04,33.92,36.01,44858600,SBAC,Real Estate
2008-05-30,32.29,37.43,32.08,37.22,40290100,SBAC,Real Estate
2008-04-30,30.0,33.32,29.02,32.34,31101000,SBAC,Real Estate
2008-03-31,30.87,31.71,26.57,29.83,33181100,SBAC,Real Estate
2008-02-29,29.78,33.72,28.0,31.05,32640100,SBAC,Real Estate
2008-01-31,33.77,34.045,23.93,29.61,42462700,SBAC,Real Estate
2007-12-31,37.29,37.5,31.27,33.84,26206500,SBAC,Real Estate
2007-11-30,35.34,38.5,30.81,37.44,35903400,SBAC,Real Estate
2007-10-31,35.35,36.77,33.71,35.6,24930900,SBAC,Real Estate
2007-09-28,32.46,35.95,31.55,35.28,18176500,SBAC,Real Estate
2007-08-31,33.15,36.45,28.14,32.57,44483900,SBAC,Real Estate
2007-07-31,33.7,36.68,33.13,33.32,23797100,SBAC,Real Estate
2007-06-29,32.2,34.21,31.26,33.59,23439200,SBAC,Real Estate
2007-05-31,29.48,32.71,29.0,32.13,26335800,SBAC,Real Estate
2007-04-30,29.52,31.0,29.19,29.42,20539700,SBAC,Real Estate
2007-03-30,26.48,30.33,25.76,29.55,47174500,SBAC,Real Estate
2007-02-28,29.9,30.39,26.6,26.97,20028800,SBAC,Real Estate
2007-01-31,27.59,30.46,27.0,29.71,21092500,SBAC,Real Estate
2006-12-29,28.429,29.41,26.8,27.5,15569300,SBAC,Real Estate
2006-11-30,26.73,29.19,25.8,28.37,25487600,SBAC,Real Estate
2006-10-31,24.39,27.97,23.62,26.71,29239300,SBAC,Real Estate
2006-09-29,25.87,25.95,23.38,24.33,20475300,SBAC,Real Estate
2006-08-31,23.68,26.03,23.02,25.74,24833800,SBAC,Real Estate
2006-07-31,25.79,25.79,21.37,23.88,20081500,SBAC,Real Estate
2006-06-30,23.01,26.14,20.66,26.14,31381500,SBAC,Real Estate
2006-05-31,25.2,28.2,20.0,22.89,34608700,SBAC,Real Estate
2006-04-28,23.41,26.1299,22.39,25.12,10873400,SBAC,Real Estate
2006-03-31,22.6,24.55,20.87,23.41,15656900,SBAC,Real Estate
2006-02-28,21.77,22.99,20.08,22.49,12724000,SBAC,Real Estate
2006-01-31,17.99,22.0,17.771,21.85,13169300,SBAC,Real Estate
2005-12-30,18.44,19.47,16.67,17.9,13376800,SBAC,Real Estate
2005-11-30,14.66,19.14,14.52,18.44,26118200,SBAC,Real Estate
2005-10-31,15.4,16.13,14.15,14.77,18012600,SBAC,Real Estate
2005-09-30,15.15,16.0,13.97,15.43,10930500,SBAC,Real Estate
2005-08-31,16.55,16.85,13.7,15.05,14150100,SBAC,Real Estate
2005-07-29,13.55,16.73,13.4,16.59,11747900,SBAC,Real Estate
2005-06-30,11.27,14.32,10.63,13.5,19215200,SBAC,Real Estate
2005-05-31,8.54,11.5,8.21,11.24,20341500,SBAC,Real Estate
2005-04-29,9.16,9.44,8.25,8.48,10315100,SBAC,Real Estate
2005-03-31,8.7,10.13,8.64,9.14,12494700,SBAC,Real Estate
2005-02-28,8.6,9.59,8.25,8.7,10476700,SBAC,Real Estate
2005-01-31,9.23,9.45,7.97,8.56,13709800,SBAC,Real Estate
2004-12-31,9.63,10.64,9.0,9.28,22462600,SBAC,Real Estate
2004-11-30,9.02,9.65,8.15,9.6,14446600,SBAC,Real Estate
2004-10-29,7.02,8.86,6.82,8.37,26219200,SBAC,Real Estate
2004-09-30,5.2,7.15,5.11,7.0,21943100,SBAC,Real Estate
2004-08-31,5.05,5.6,4.56,5.2,13385600,SBAC,Real Estate
2004-07-30,4.36,5.03,4.15,5.03,11720000,SBAC,Real Estate
2004-06-30,3.8,4.72,3.77,4.45,15276600,SBAC,Real Estate
2004-05-28,3.96,4.03,3.1,3.86,10585200,SBAC,Real Estate
2004-04-30,4.0,4.75,3.53,3.97,16126700,SBAC,Real Estate
2004-03-31,4.46,4.71,3.29,3.88,13710400,SBAC,Real Estate
2004-02-27,4.5,4.73,3.77,4.447,12291900,SBAC,Real Estate
2004-01-30,3.9,5.431,3.69,4.45,15245800,SBAC,Real Estate
2003-12-31,3.58,3.86,3.1,3.76,9307300,SBAC,Real Estate
2003-11-28,4.02,4.24,3.2,3.45,11523600,SBAC,Real Estate
2003-10-31,3.25,4.35,3.13,4.07,21391200,SBAC,Real Estate
2003-09-30,3.3110000000000004,3.68,3.02,3.15,14020400,SBAC,Real Estate
2003-08-29,3.9,4.06,2.47,3.35,21882200,SBAC,Real Estate
2003-07-31,2.85,4.13,2.71,3.86,18893900,SBAC,Real Estate
2003-06-30,2.9,3.49,2.44,3.01,16546700,SBAC,Real Estate
2003-05-30,1.63,3.29,1.45,3.05,29425800,SBAC,Real Estate
2003-04-30,1.24,2.05,1.11,1.67,19960700,SBAC,Real Estate
2003-03-31,0.66,1.45,0.6,1.32,30018000,SBAC,Real Estate
