timestamp,open,high,low,close,volume,Ticker,Sector
2020-07-02,119.45,120.88,118.66,119.21,12457453,WMT,Consumer Staples
2020-06-30,123.44,124.41,117.01,119.78,185696536,WMT,Consumer Staples
2020-05-29,121.48,131.99,120.78,124.06,186708076,WMT,Consumer Staples
2020-04-30,112.15,133.38,111.8,121.55,207003286,WMT,Consumer Staples
2020-03-31,107.6,128.08,102.0,113.62,318734300,WMT,Consumer Staples
2020-02-28,114.9,119.95,104.37,107.68,132355144,WMT,Consumer Staples
2020-01-31,118.86,119.89,112.68,114.49,127888574,WMT,Consumer Staples
2019-12-31,119.15,122.12,117.42,118.84,98426399,WMT,Consumer Staples
2019-11-29,117.92,125.38,117.075,119.09,116899196,WMT,Consumer Staples
2019-10-31,118.85,120.71,114.58,117.26,98902760,WMT,Consumer Staples
2019-09-30,113.68,119.86,113.49,118.68,107294158,WMT,Consumer Staples
2019-08-30,110.32,115.38,104.84,114.26,157363365,WMT,Consumer Staples
2019-07-31,111.3,115.49,109.63,110.38,91294745,WMT,Consumer Staples
2019-06-28,101.63,112.22,101.4,110.49,121526002,WMT,Consumer Staples
2019-05-31,102.77,103.96,98.85,101.44,155765843,WMT,Consumer Staples
2019-04-30,97.97,104.145,96.79,102.84,110608470,WMT,Consumer Staples
2019-03-29,99.47,100.49,96.53,97.53,141148758,WMT,Consumer Staples
2019-02-28,95.92,104.18,93.11,98.99,166799543,WMT,Consumer Staples
2019-01-31,91.64,99.35,91.64,95.83,160743604,WMT,Consumer Staples
2018-12-31,98.02,99.59,85.78,93.15,186312324,WMT,Consumer Staples
2018-11-30,99.96,106.21,93.31,97.65,191936504,WMT,Consumer Staples
2018-10-31,94.29,102.6,92.89,100.28,216422336,WMT,Consumer Staples
2018-09-28,95.8,97.66,93.69,93.91,127212992,WMT,Consumer Staples
2018-08-31,88.86,100.21,87.62,95.86,205661127,WMT,Consumer Staples
2018-07-31,85.65,89.66,83.4,89.23,117607833,WMT,Consumer Staples
2018-06-29,83.04,87.49,82.37,85.65,185816537,WMT,Consumer Staples
2018-05-31,87.67,88.1,81.78,82.54,248483627,WMT,Consumer Staples
2018-04-30,88.0,89.6599,84.84,88.46,164177842,WMT,Consumer Staples
2018-03-29,90.17,90.5,85.28,88.97,250996773,WMT,Consumer Staples
2018-02-28,105.96,106.56,90.0,90.01,300297591,WMT,Consumer Staples
2018-01-31,99.3,109.98,98.52,106.6,161238958,WMT,Consumer Staples
2017-12-29,97.61,99.91,96.13799999999999,98.75,161482522,WMT,Consumer Staples
2017-11-30,87.07,100.13,87.0,97.23,219251118,WMT,Consumer Staples
2017-10-31,77.9,89.11,77.5,87.31,194446820,WMT,Consumer Staples
2017-09-29,78.31,81.12,77.73,78.14,159207322,WMT,Consumer Staples
2017-08-31,80.25,81.99,77.5,78.07,201324819,WMT,Consumer Staples
2017-07-31,75.84,80.34,73.13,79.99,141394475,WMT,Consumer Staples
2017-06-30,78.64,80.475,73.29,75.68,245842580,WMT,Consumer Staples
2017-05-31,75.09,79.44,74.96,78.6,179004446,WMT,Consumer Staples
2017-04-28,72.08,75.7663,71.38,75.18,127293205,WMT,Consumer Staples
2017-03-31,70.97,72.56,69.33,72.08,191105194,WMT,Consumer Staples
2017-02-28,66.46,72.8,66.04,70.93,207958861,WMT,Consumer Staples
2017-01-31,69.24,69.63,65.28,66.74,181529324,WMT,Consumer Staples
2016-12-30,70.25,72.48,68.83,69.12,162512660,WMT,Consumer Staples
2016-11-30,69.98,72.09,68.12,70.43,210402048,WMT,Consumer Staples
